foa-0001	permission final episode
mir-0117	words for representing semantics document language words meaning noun words groups noun words representative document_content text documents collection terms index_terms preprocessing phase text operations can elimination stop-words stemming reduction word its root building thesaurus and_compression text operations representing documents sets index_terms representation semantics documents collection instance term like meaning retrieval documents present user_query set words collection index its documents noise for retrieval_task way reduce noise reduce set words can index documents preprocessing documents collection process controlling size vocabulary number words index_terms use controlled_vocabulary improvement retrieval_performance controlling size vocabulary technique commercial systems step indexing process users result user documents absence documents see instance document string house notice document present top documents response his query request controlled_vocabulary potential improvement retrieval_performance text transformations preprocessing time make difficult for user retrieval_task recognition problem search_engines text operations indexing words text idea index retrieval_task can full_text_search intuitive user document_preprocessing types operations documents can retrieval_performance construction thesaurus representing conceptual term_relationships clustering documents discussion document_clustering user_query text_normalization building thesaurus strategies precision documents very_large digital_libraries efficiency terms time retrieval_process critical fact web_search_engines query response_time precision_and_recall figures processing number queries per unit time for survival reduce query response_time utilization text_compression alternative compression_algorithm reduce text its size text storage space time communication_link disadvantage time text compression gains processing_time time text offset gains operating data use compression information_system complex compression techniques understanding view adoption compression techniques compression techniques mean compression decompression fast random_access need decode text direct searching text compression text becoming encryption fact fast popularization services types electronic_commerce key questions security_and_privacy impersonation unauthorized_access result financial damage people organizations solution problems simple can benefit text encrypted text scope book objective introduction topic can document_preprocessing first preprocessing text operations thesauri summarize problem document_clustering detail discussion issue text_compression its variations its implications
mir-0118	document_preprocessing document_preprocessing procedure can text operations transformations lexical_analysis text objective punctuation_marks case stopwords objective filtering words discrimination values for retrieval purposes words objective affixes prefixes_and_suffixes retrieval documents syntactic_variations query terms connect index_terms groups words will indexing elements decision word will index term syntactic nature word fact noun words semantics adverbs verbs term_categorization structures thesaurus extraction structure text for expansion query terms procedure following phases detail let view documents results phases for convenience preprocessing phases move view documents system text set indexing terms
mir-0119	lexical_analysis lexical_analysis process converting stream characters text documents stream words candidate words index_terms objectives lexical_analysis phase identification words text first glance recognition spaces word separators case view document phases text_preprocessing spaces space instance following care punctuation_marks case lower case index_terms context instance user documents number car accidents request set index_terms car accidents presence query retrieval for instance variety documents problem general wise index_terms word instance index term case rule sequence credit_card number relevant context case index term approach for text words sequences regular_expressions lexical_analysis procedure date number normalization pose difficult decision lexical_analyzer words inconsistency usage instance state_of_the_art words integral instance procedure adopt general role exceptions case case basis punctuation_marks process lexical_analysis punctuation_marks integral word for document_preprocessing instance seem impact retrieval_performance risk case minimal fact user his query query_term documents will affect retrieval scenarios preparation list exceptions instance program_code text wise variables case mark case for identification index_terms result lexical_analyzer text lower case scenarios instance looking for documents command_language operating_system user desire convention operating_system semantics case conversion instance words bank meanings fact pairs_of_words text operations can difficulty thought impact document_retrieval time situations user difficult indexing strategy solution problem web_search_engines for avoiding text operations interpretation user retrieval_task strategy will choice long_term
mir-0120	words documents collection fact word documents collection for purposes retrieval words stopwords potential index_terms prepositions conjunctions natural for list stopwords stopwords benefit size indexing_structure fact typical compression size indexing_structure for instance size list see elimination stopwords stopword elimination for compression indexing_structure list stopwords words prepositions conjunctions instance verbs adverbs stopwords list stopwords for lexical_analysis benefits elimination stopwords reduce recall instance user looking for documents phrase stopwords term making documents phrase for adoption text index insert words collection inverted_file web_search_engines
mir-0121	user word query variant word present relevant_document forms past suffixes examples variations perfect match query word document word problem can substitution words stems stem word its affixes prefixes_and_suffixes typical example stem word connect stem for variants connection connections thought for retrieval_performance reduce variants same root word concept stemming effect size indexing_structure number index_terms argument stemming controversy literature benefits stemming for retrieval_performance fact studies studies potential benefits stemming usage stemming results experimental_studies reach result web_search_engines adopt stemming algorithm types stemming strategies affix table_lookup variety n-grams table_lookup looking for stem word table simple procedure dependent data stems for language data storage space type stemming algorithm practical variety stemming determination morpheme boundaries knowledge linguistics complex affix stemming algorithms stemming identification term_clustering procedure stemming stemming intuitive simple can section discussion algorithms for affix stemming affix suffix variants word introduction suffixes fixes suffix algorithms popular its simplicity algorithm results algorithms algorithm suffix list for suffix_stripping idea apply series rules suffixes words text instance rule forms forms suffix word for sequence hand set rules application following rules word stresses stem stress stem rules phases algorithm effective stemming running fast description algorithm can
mir-0122	index_terms text representation text words text index_terms alternative adopt abstract_view words index_terms set terms indices area sciences selection index_terms specialist alternative approach select for index_terms automatic approaches for selecting index_terms can approach identification noun_groups inquery_system now sentence natural_language_text nouns pronouns verbs adverbs words class purpose can semantics noun words strategy for selecting index_terms use nouns text can elimination verbs adverbs pronouns nouns component computer_science sense cluster nouns text indexing component concept nouns index_terms adopt noun_groups noun_group set nouns syntactic_distance text terms number words nouns threshold for instance noun_groups indexing terms conceptual view documents terms sets index_terms
mir-0123	word thesaurus reference words its form list important_words domain knowledge for word list set words words its variation relationship general thesaurus normalization vocabulary structure complex simple list words synonyms instance popular thesaurus phrases concepts complex words account thesaurus general nature domain knowledge words phrases categories example entry thesaurus adjective slang slang slang adjective thesaurus synonyms thesaurus class thesaurus generic nature thesaurus can domain knowledge instance covers concepts engineering technical_terminology purposes thesaurus standard vocabulary system references for indexing searching users locating terms for query_formulation classified hierarchies narrowing query request needs user section use thesaurus for user_query issue algorithms for automatic_construction thesauri motivation for building thesaurus idea vocabulary for indexing searching controlled_vocabulary advantages normalization document_preprocessing indexing concepts reduction noise identification indexing terms semantic_meaning retrieval concepts words advantages domains medical_domain for large knowledge general domains body_of_knowledge can associated documents collection reasons document large changes case the_web thesaurus context the_web success search_engine see user term_classification hierarchy can reduce space techniques dynamic the_web reach consensus advantages thesaurus for the_web result search_engines use words documents index_terms concepts controlled_vocabulary for indexing searching purposes techniques will context the_web components thesaurus its index_terms relationships terms layout_design for term_relationships index_terms term_relationships layout_design for term_relationships can form list form display layout structure list issue layout terms thesaurus coverage topics problem can discussion can index_terms terms indexing components thesaurus term thesaurus concept basic_semantic_unit for ideas can individual words groups words phrases words terms nouns nouns concrete part_of_speech can verbs form nouns for instance acting teaching concept can word group words instance concepts combination adjective noun typical example case indexing term will yield entry entry problem term noun first word instance can change term notice use form form reasoning thesaurus classes things natural form form for terms body temperature simple matter term complement thesaurus entry definition explanation need precise meanings term context thesaurus instance term meaning context animals meaning context documents definition context explanation animals documents term_relationships set terms thesaurus term synonyms relationships can patterns co-occurrence documents relationships hierarchical nature terms relationship nature case terms relationships classification_hierarchy term associated class its terms associated instances class term associated terms case relationships can automatic assistance human relationships relationships dependent context needs group users difficult knowledge thesaurus classification_scheme words phrases organization expression ideas text writer difficulty term express idea occurrence writing can use thesaurus grasp semantics terms his idea area information_retrieval researchers for usefulness thesaurus for query_formation process user set documents first conceptualization looking for conceptualization call his information_need information_need user translate query language ir_system document_clustering set index_terms collection user selection terms situation dynamic collection documents pages the_web case query course_of_action reformulation process query terms natural use thesaurus for user search for terms approach work general relationships thesaurus local_context user_query alternative relationships query time alternative attractive for web_search_engines can time processing individual queries issues use techniques
mir-0124	document_clustering document_clustering grouping documents classes document_clustering text collection documents clustering documents types global local global clustering strategy documents occurrence collection local_clustering strategy grouping documents context query its local set documents clustering_methods transform query user_information need perspective clustering transformation user_query transformation text documents book document_clustering techniques query_operations
mir-0126	text_compression text bytes space store text computers can compression techniques methods representation structures text version text can text_compression becoming issue information_retrieval environment use digital_libraries office_automation systems document_databases the_web led textual_information online scenario text_compression attractive option for costs associated space requirements input/output overhead communication_delays gain text storage space time communication_link time search text price time code decode text obstacle for text form need for systems access text access word text decode text word large text fast random_access block efficient compression methods need process text making compression effective effective compression discussion text_compression methods for use environment instance idea merging requirements compression_algorithms needs systems symbols words characters compression approach atoms systems now compression words symbols characters word-based_compression methods random_access words text critical issue for ir_system economy space compression_method characteristics compression decompression speed situations decompression speed compression speed instance case textual_databases compress text read times disk characteristic compression_method pattern_matching task pattern_matching text case sequential_searching can search key decoding text search faster text text scanned efficient methods searching text text_collection large efficient text_retrieval index techniques simple popular indexing_structure for text_collections inverted_files inverted_files see for pattern for simple words type query for instance searching the_web inverted_files for indexing large text collections inverted_file vector words text_collection vocabulary for text_compression word vocabulary list documents document word list document inverted_file order compression methods for efficient index_compression schemes query_processing time index access_time section index_compression techniques first basic concepts text_compression present statistical compression methods review compression methods dictionary application compression inverted_files
mir-0127	general approaches text_compression statistical dictionary statistical_methods probability_estimates appearance text for symbol accurate estimates compression symbol character text word number characters set symbols text alphabet task estimating probability next symbol modeling model collection probability_distributions for context symbol can probabilities symbols binary process coding practice encoder_and_decoder use same model decoder output encoder reference same model find symbol statistical coding strategies huffman_coding arithmetic_coding idea huffman_coding encoding symbol text number symbols probabilities appearance huffman_coding first compression_method arithmetic_coding compression arithmetic_coding code symbol time huffman_coding scheme symbol number incremental nature decoding string file decode symbol file arithmetic_coding decode text word characteristic arithmetic_coding for use environment methods substitute sequence symbols pointer occurrence sequence pointer representations references dictionary list symbols phrases dictionary_entries need space phrase compression modeling coding dictionary methods explicit probabilities associated phrases dictionary methods family methods family methods compress texts per character character method alternative for natural_language_texts method reduce texts per character will see huffman_coding compression entropy random_access intermediate points text methods reduce texts per character arithmetic_coding can compress texts per character price compression decompression impossibility intermediate points text let present definition will now compression_ratio size file file
mir-0128	statistical_methods statistical method probability for symbol modeling task probability code symbol time coding task codes symbols relationship probabilities codes his source_code theorem optimal encoding_scheme symbol probability code length number symbol information_content symbol average information per symbol alphabet entropy probability distribution lower_bound compression per symbol coding method probability distribution probabilities property model for topic text_compression basic function model probability assignment for next symbol compression can models text probability assignment following section models can adaptive static adaptive_models information text learn its statistical distribution compression_process adaptive_models need text store additional_information text texts models converge true statistical distribution text disadvantage decompression file its information distribution data inside file adaptive_modeling option for general purpose compression programs alternative for full-text_retrieval random_access patterns models average distribution for input texts modeling phase for texts future probability_distribution for texts future models poor compression data statistical assumptions example model for texts will for financial texts number codes models distribution data learn first compress data code distribution first decoding time information data_distribution decoder symbols models make text information data_distribution decoder situations interactive data communications make text models contexts same codes point file direct_access models words characters symbols word string characters set characters set reasons use models ir_context compression words symbols words meaning natural_languages result distribution semantic structure text individual words atoms information_retrieval_systems for indexing purposes model for compression word_frequencies queries words strategy least words first text words separators model for separators words separators for words for separators following example rose rose rose word-based_model set symbols alphabet rose frequencies set separators frequencies space text word separator confusion alphabet use natural_language_texts word space texts collection see separators spaces alternative space word same word word space can encode word can encode word following separator decoding time decode word space next symbol separator now alphabet for words separators space instance example alphabet rose alphabet for separators alphabet space words words situations models for full-text databases potential codes care fact instance section lexical_analysis sequence word collection documents document identifiers will words collection can for compression_method solution implicit punctuation marker alphabet size compression_ratio decoding time consideration size alphabet schemes large number words full-text database vocabulary natural_language_texts words dependent text collection alphabet size proportional square_root for growth alphabet generalized law probability distribution entropy compression_ratio text number symbols laws methods need large texts effective compress text_compression web_page network need store vocabulary space_overhead text small concern general texts large vocabulary for purposes indexing querying task representation code symbol probability_distribution model goal short_codes symbols codes section entropy probability_distribution lower_bound average length code can quality terms entropy consideration speed decoder compression_ratio reduce time encode decode text compression_method text first modeler probability distribution symbols coding tree distribution next symbol coding tree compression methods work text updating coding tree encoding symbols input_text text problem adaptive methods cost updating coding tree symbols read methods arithmetic_coding methods can static adaptive_algorithms strength arithmetic_coding methods can codes entropy for probability_distribution strength arithmetic_coding methods need store coding tree adaptive_algorithms arithmetic_coding memory coding static algorithms use canonical codes memory problem canonical trees arithmetic_coding input_text interval real size input interval number interval input symbols probabilities reduce interval symbols probabilities add output code arithmetic_coding huffman_coding environment arithmetic_coding huffman_coding static algorithms arithmetic_coding decompression can file huffman_coding index decode position text static algorithms huffman_coding methods yield compression arithmetic_coding huffman_coding method choice full-text_retrieval speed random_access will focus discussion huffman_coding huffman_coding huffman_coding compression methods idea variable-length encoding symbol encode symbol codes symbols uniqueness code model huffman_coding form compression_method for text example compression huffman_coding words example set symbols alphabet for rose frequencies case alphabet unique for words separators separator alphabet space word word words words see words huffman_tree example binary trie binary codes stream file sequence read compression tree root leaf node word symbol tree traversal tree presence code file symbol for build huffman_tree first symbols alphabet probability_distribution text algorithm for building tree bottom text for rose rose rose text huffman_coding tree for words text_compression for symbol alphabet node symbol its probability frequency point forest trees probabilities sum nodes probabilities children parent node parent node associated probability sum probabilities children nodes children node root decoding_tree pairing nodes probabilities algorithm places root_node making code branches internal node symbols frequencies text algorithm huffman_tree time number trees can for probability_distribution large subtrees internal node results tree subtrees structure weighted_average code length tree choice for applications adopt canonical tree order coding huffman_tree canonical height subtree node subtree leaves order probabilities canonical tree for example leaf position canonical tree element probability will zeros following codes will order inside change shift counting table canonical codes for example canonical code can sequence number symbols numerical value first code height tree example sequence instance nodes node code value value code code for rose code tree empty_nodes elements elements tree elements elements elements empty_nodes huffman_tree properties canonical codes set codes same length binary representations integers integers codes table code code example first character read input stream symbol can output value integer index table symbol read code can read use index table fact can enable efficient encoding decoding small overhead memory for large vocabularies huffman_code method binary coding trees build code symbol sequence bytes result huffman_tree degree code symbol bytes example code for word rose code construct ion trees first levels tree empty_nodes code binary naive extension binary huffman_tree construction algorithm tree example alphabet symbols same probability root_node spaces symbols tree code bytes way empty_nodes tree number empty_nodes will text_compression empty_nodes symbols probabilities for moving empty_nodes final tree need select number symbols mod number symbols size vocabulary for composing empty_nodes instance example elements empty_nodes first step mod binary huffman_tree construction algorithm techniques for efficient encoding decoding can handle huffman_coding compression_ratio bytes symbols words decompression huffman_code faster decompression binary huffman_code fact compression decompression fast compression family practice processing faster processing masking operations decoding time searching time huffman_coding direct searching text searching algorithm search can text sequential_pattern matching_algorithm large number variations approximate pattern_matching problem phrases cards regular_expressions algorithm shift-or algorithm fast filter approximate searching text times faster equivalent approximate searching text use vocabulary algorithm technique speeding sequential search can schemes inverted_files sequential search like
mir-0129	methods compression groups symbols phrases pointer entry dictionary central decision design dictionary method selection dictionary choice phrases can static adaptive_algorithms dictionary schemes use static dictionaries phrases dictionary encoders fast demand little effort for small compression example times forms digram coding step next characters digram dictionary coding position characters single_character its normal code coding position character problem static dictionary encoders dictionary for text for way problem use dictionary scheme dictionary for text problem phrases dictionary task solution problem use adaptive dictionary scheme type adaptive dictionary scheme idea strings characters reference occurrence string approach effective characters can string text pointer occurrence string string compression dictionary methods present statistical method decoding file direct_access position text text position dictionary schemes popular for speed economy memory results statistical_methods make method choice environment improvement computing_technology will make statistical_methods for general use interest dictionary methods will
mir-0130	inverted_file inverted_file vector words text_collection vocabulary for word vocabulary list documents word inverted_files index large text files size inverted_file can inverted_lists list document list order can sequence gaps document processing list document can sums gaps gaps small for words large for words compression can encoding small values codes coding_scheme for case integer zero code for codes for integers variable-length_coding schemes for integers code number concatenation text_compression codes for integers code for code log value binary code for combining code for code binary number for code examples codes coding_scheme code number binary code code first for general code for integer log examples codes general for small values codes codes large situation coding method for positive integers code effective probability distribution geometric inverted_files likelihood gap size can probability documents word occurrence word document probability probability gap size geometric_distribution case model parameterized use density pointers inverted_file number documents system size vocabulary probability document term can number pointers number pointers size index method parameter gap binary log number binary first value los binary example for for codes value relative encoding values code compression_method first parameter for term gap compression value number documents number documents term present study text_collections practical work compression inverted_lists use code for list gaps case code compression disadvantage knowledge number documents term index for collection pointers terms code average number per pointer
mir-0131	text_compression comparison arithmetic_coding huffman_coding huffman_coding coding aspects compression_ratio compression speed decompression speed memory_space overhead pattern_matching capability random_access capability objective compression_method compression per character compression_ratio result for natural_language_texts context compression_ratio compression_ratio poor compression_ratio text_compression compression_ratio poor speed slow fast fast fast speed slow fast fast fast memory_space pat matching random_access techniques characteristics compression_method compression decompression speed compression methods difficult implementation method compiler computer_architecture machine program compression speed methods compress example decompression speed methods gzip example statistical_methods arithmetic compression time cost first probability distribution symbols text compress methods methods far hand arithmetic methods methods complexity arithmetic_coding canonical coding decompression speed methods fast methods methods methods complexity arithmetic_coding make huffman_coding decompression compression methods memory encoding decoding store tables strings general tables memory for storage yield compression statistical_methods store probability distribution symbols text modeling phase model compression decompression phases memory size vocabulary text case for models for models environment compression_method efficient random_access direct searching text pattern_matching methods random_access decompression can file arithmetic_coding methods can practical efficient flexible direct searching methods texts for compression searching for methods theoretical basis implementation algorithms implementations algorithms search text algorithms fast searching searching text extract data text text direct_access work proportional size text its position text
mir-0132	research_issues text transformation techniques call text operations first text operations for preprocessing document_text set index_terms for searching querying purposes text operations lexical_analysis elimination stopwords stemming selection index_terms thesauri first generation set index_terms construction thesaurus building categorization hierarchies for capturing term_relationships relationships can for user_query formulation user_information need controversy potential retrieval_performance stopwords elimination stemming index_terms selection fact evidence text operations yield consistent retrieval_performance result retrieval_systems use text operations example trend fact web_search_engines index words text syntactic nature role text automatic_query_expansion techniques can yield retrieval_performance same can use thesaurus user query_formation process fact success web_search_engine term_categorization hierarchy term_relationships user techniques interactive interfaces for digital_library_systems clustering clustering grouping documents text transformation cover coverage clustering reader text compression text operations form quality answer set text space communication_costs searching faster text fact gain text storage space time efficient direct sequential access text effective environment compression_method following requirements compression_ratio fast coding fast decoding fast random_access need decode direct searching need text compression_ratio space secondary_storage communication_costs coding processing overhead introduction compression system fast decoding fast coding documentation_systems document times disk random_access efficient processing multiple_queries users information_system compression_schemes requirements parameters faster search text huffman_encoding scheme search version text discussion compression effective compression scheme for information retrieval_systems application compression index_structures inverted_files inverted_files inverted_lists document order coding difference document efficient compression can trends text_compression use modeling huffman_coding results statistical_methods coding methods for use environment now searching text work efficient manipulation indices trend index text times user visualize text
mir-0133	discussion lexical_analysis elimination stopwords work stemming discussion work porter_stemming algorithm coverage thesauri work cover thesauri discussion can discussion usefulness thesauri text_compression books topics detail present implementations text_compression methods arithmetic_coding retrieval_system cover statistical dictionary methods stress adaptive_methods theoretical aspects compression estimates entropy natural_languages covers compression techniques emphasis dictionary methods huffman_coding versions huffman_coding word-based_compression huffman_coding codes first properties canonical codes huffman_coding sequential_searching text sequential_searching data implementations sequential_searching text first papers arithmetic_coding references variety compression methods for inverted_lists effective compression methods for inverted_lists sequence gaps document results encodings study inverted_file compression can algorithms process index need decode index
mir-0135	query_operations can text_databases cover techniques need query_operations first searching queries words reporting documents number query document its text algorithms boolean_operations sequential search_algorithms pattern_matching structured_text and_compression techniques option searching for basic query scan text online text searching pattern text text searching text small choice text_collection volatile modifications index_space overhead can option build data_structures text indices speed search building index text_collection large collections can intervals support words per case for real text_databases dictionaries slow instance case for web_search_engines journal archives techniques for medium size databases online searching cover indexing_techniques inverted_files suffix_arrays signature_files keyword-based_search first inverted_files choice for applications suffix_trees arrays faster for phrase queries build maintain signature_files popular inverted_files structures pay attention search_cost space overhead cost building updating reader familiar basic data_structures arrays binary_search_trees hash_tables tries tries reminder digital search_trees multiway_trees store sets strings string time proportional its length independent number strings character string string edge tree search string trie root scans string edge trie leaf string edge point string set for example text trie its words index searching present tasks order think understanding first data_structure understanding construction algorithm complex make following assumptions call size text_database pattern length call main_memory modifications text_database deletion text size experimental measures for algorithms reader grasp real times use reference_architecture representative power computers use running code optimization options text_data use collections detail
mir-0136	inverted_files inverted_file inverted_index mechanism for indexing text_collection order speed searching_task inverted_file structure elements vocabulary vocabulary set words text word list text word set lists example can words characters position word text text words text inverted_index words sample text inverted_index words point character text phrase proximity_queries character position character direct_access matching text authors make inverted_files inverted_lists inverted_file element list points document file name inverted_lists match definition make will see matter addressing granularity can range text space for vocabulary small law see vocabulary dependent text practice instance for collection vocabulary size stemming normalization techniques demand space word text structure space stopwords practice words practice space_overhead text size reduce space requirements technique block addressing text point word indices point inverted_indices block addressing can pointers word inside block reference see overhead text size technique price pay occurrence for instance for proximity_query online_search instance block addressing indices texts space inverted_indices for texts text text words inverted_index sample text split inverted_index block addressing block use stopwords inversion for words bytes per pointer document addressing index point documents size number bytes per pointer bytes text size block addressing index use bytes per pointer text size space pointers can compression words stop-words characters estimation for vocabulary parameters decisions experience can size block structure text_database can natural division text_collection files documents web_pages division size efficiency retrieval_time variance block text average match queries division natural need for online traversal example block per retrieval_unit exact_match need text for queries retrieval units report hand retrieval units block block units notice order use block addressing text search_time case for remote text web_search_engines text for instance queries can retrieval units inverted_files collection collection large_collection words documents inverted_file approximate size text collection collections collection stopwords words
mir-0137	search_algorithm inverted_index general for queries search words patterns present query vocabulary phrases proximity_queries split words lists words phrases proximity boolean_operations block addressing search text find information word form phrases searching inverted_index vocabulary idea file file main_memory for large text collections queries can data_structure speed search hashing tries first search_cost independent text size words order space competitive performance word can binary cost range_queries can binary_search tries hashing query words process list need make union lists pattern mat words queries difficult inverted_indices element list positional order for lists elements synchronization find places words sequence for phrase for proximity list binary_search its elements lists linear merge law case inverted_indices merging intersection lists index stores character phrase_query can separators proximity terms character distance block addressing for queries position information lists words search context query section care block boundaries can split match search present time consuming generalized laws cost solving queries text size for complex_queries list merging time_complexity query for queries selectivity block addressing select block_size function space requirement text queries figures for instance space requirement text can inverted_indices search_time space requirements indices times reference machine for inverted_index text following results searching simple word searching phrase words
mir-0138	inverted_index low_cost task principle inverted_index text characters can time vocabulary now trie data_structure for word list its text word text read trie trie list trie position its list process text trie disk list occurrence practice split index files inverted_files text text words vocabulary_trie inverted_index for sample text first file lists scheme file posting file file vocabulary order for word pointer its list first file vocabulary memory search_time number word can vocabulary little space_overhead analyze now construction time scheme trie operations per text character can lists time process worst-case time algorithm practical for large texts index fit main_memory paging mechanism will performance algorithm alternative faster practice algorithm main_memory trie space can hash_table structure memory partial index now disk main_memory rest text number partial indices disk indices hierarchical fashion index partial indices now size indices way merging next index index form index text indices merging vocabularies same word indices merging lists construction index index lists fast process practice its complexity indices final index level_3 partial indices binary fashion partial rectangles merging operations inside merging operations merging order time partial indices number partial indices merging linear process index matter split partial indices its cost merge partial indices merging levels cost algorithm indices can change complexity efficiency merging levels hand memory buffers for partial index merge will disk will practice idea merge partial indices times build inverted_indices reference machine for collections slowdown factor text time merging partial indices reduce space requirements merging in-place indices write result same disk indices file idea hierarchical merging files space requirements vocabularies redundant words redundancy vocabulary can partial indices small text algorithm changes little block addressing index_maintenance text size database inverted_index for text indices for partial indices log text can index point inside text words lists process
mir-0140	suffix_trees suffix_arrays inverted_indices text can sequence words kinds queries can queries phrases concept word applications genetic databases section present suffix_arrays suffix_arrays space_efficient implementation suffix_trees type index answer complex_queries drawbacks its construction process text query time results text position order structure can index words stopwords inverted_index index text character for spectrum applications genetic databases for applications inverted_files complex_queries issue index text string position text text suffix string text position text difficult see suffixes character rest text suffix its position text need points text point text will instance index word functionality inverted_indices elements index points inverted_index word essence suffix_tree trie data_structure suffixes text pointers suffixes leaf nodes space_utilization trie patricia_tree paths paths node child next character position nodes root path paths present tree nodes worst-case trie see text text words text text words text words words words sample text index points_of_interest suffixes index points text text words suffix_trie suffix_tree suffix_trie suffix_tree for sample text problem structure its space implementation node trie bytes word space_overhead text size suffix_arrays same functionality suffix_trees space requirements leaves suffix_tree order top bottom figures suffixes text order suffix_array array pointers text suffixes order store pointer per suffix space requirements text text words suffix_array suffix_array for sample text text text words text word suffix_array suffix_array keeping first characters pointers arrows fact same for inverted_indices compression techniques overhead text size suffix_arrays binary contents pointer suffix_array large case binary_search can number random disk remedy situation use suffix_array sampling suffix_array for sample first suffix characters first step search reduce example fact need intervals same length word-indexing suffix_arrays sample time first word suffix changes store word characters same vocabulary text pointers array fact difference structure inverted_index word inverted_index text position suffix_array text following word relationship space requirements space requirements suffix_array vocabulary same for inverted_indices for compression see text text words text words suffix_array list suffix_array vocabulary suffix_tree text can basic patterns words phrases can time simple trie_search suffix_trees practical for large texts suffix_arrays hand can same search operations time binary_search trie_search search_pattern suffix binary_search patterns suffix_array elements lying point suffixes like pattern pattern text instance example figure order find word search for text array pointers queries subtree suffix_tree interval suffix_array results sorting text order suffix_trees arrays respect inverted_indices simple_phrase searching case for indices simple_phrase words can simple pattern suffix respect suffixes first word proximity_search hand for element for inverted_files binary search suffix_arrays disk random text force disk tracks text random size search_cost time first step binary_search problem log random disk suffix_array disk search main_memory text search suffix_array block memory binary search random text disk disk search times time binary_search techniques partition array account disk head position reduction times text reference machine for simple word phrase text sums use time times for simple words for phrases inverted_indices main_memory suffix_tree for text characters can time algorithm suffix_tree fit main_memory large space requirements suffix_trees cover linear algorithm complex theoretical interest direct suffix_array construction suffix_array set pointers pointers text order text point order suffix_array text random suffix_array text main_memory algorithm costs log string comparisons algorithm build suffix_array character comparisons suffixes time first bucket now first iteration suffixes first first iteration cost bucket time average log log comparisons average suffixes text algorithm text first stage bucket_sort for first order sort strings iteration notice suffixes first sort text suffix_array same bucket share first relative order text stage search can constant_time permutation detail suffix_arrays for problem large text databases will fit main_memory apply external_memory_sorting algorithm comparison text random disk will performance sorting process explain algorithm for large texts text can main_memory for block build its suffix_array main_memory merge rest array for text build suffix_array for first block build suffix_array for block merge suffix_arrays build suffix_array for block merge suffix_array build suffix_array for block merge suffix_array difficult merge large suffix_array small suffix_array merge needs text spread large text problem solution first elements large array elements small array use information merge arrays text information need suffixes large text small suffix_array compute counters store information counters large suffix_array text large array read main_memory suffix text small suffix_array main_memory find position suffix counter process analyze algorithm now main_memory index will text block array size suffixes large text binary small suffix_array complexity log same algorithm can for index_maintenance text size database can split suffix_array will text array text can construction process practice for suffix_arrays for inverted_files construction fast final sequential suffix_array times for text reference machine times construction inverted_indices small text small suffix_array small text small suffix_array counters text small text small suffix_array counters suffix_array final suffix_array step suffix_array construction for large texts local suffix_array counters suffix_arrays
